"S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S27","S16","S19","S20","S22","S21","S23","S24","S17","S18","S25","S26","S28","S29","S30","S31"
"2","4","4","4","2","2","4","4","4","2","2","4","4","4","4","4","4","4","4","2","4","4","4","2","4","4","4","5","4","5","4"
"2","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4","4","4","4","4","4","5","4","5","4"
"2","4","4","4","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4","4","2","4","4","4","5","4","5","4"
"2","5","2","5","5","4","2","2","2","4","5","5","5","4","4","5","4","4","4","5","5","5","4","4","5","4","4","4","5","4","4"
"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2","4","4","4","1","2","4","4","4","2","2","4","4","4","4","4","4","4","4","2","4","4","4","2","4","4","4","5","4","5","5"
"5","4","4","4","4","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","4","4","4","4","5","5","4","4","4","4","4","5"
"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"4","4","4","4","4","4","2","4","4","2","4","4","4","2","4","4","4","4","4","2","4","4","4","4","2","4","4","4","4","4","4"
"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","2","4","2","4","4","4","4","4","4","4","4","2","2","4"
"5","4","4","4","4","4","2","4","4","4","4","4","4","4","2","2","4","4","2","4","4","2","4","2","2","4","4","4","4","4","4"
"4","4","4","4","4","5","4","4","4","4","4","4","4","4","2","4","2","2","4","2","4","4","4","2","2","2","4","4","4","4","4"
"4","4","4","4","5","5","2","2","2","2","2","4","4","2","4","4","4","4","4","2","4","4","4","2","2","2","2","5","2","2","2"
"4","2","2","4","4","4","4","4","2","2","4","4","4","4","4","4","4","4","4","2","2","2","2","2","2","4","2","5","4","4","4"
"5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
